,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type
418,4.7,142399.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 10,['1 TB SSD'],HP,64,DDR4
419,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
420,4.5,104890.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR5
421,4.4,136800.0,Intel Core i7 Processor,16 GB,Windows 10,['1 TB SSD'],MSI,64,DDR4
422,3.3,43190.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
423,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],Lenovo,64,DDR4
424,4.2,62190.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],Lenovo,64,DDR4
425,4.3,71090.0,Intel Core i5 Processor,16 GB,Windows 10,['512 GB SSD'],DELL,64,DDR4
426,4.1,202490.0,Intel Core i5 Processor,16 GB,Windows 10,['1 TB SSD'],ALIENWARE,64,DDR4
427,4.5,37990.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
428,4.8,54990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],acer,64,DDR4
429,4.2,140131.0,Intel Core i7 Processor,16 GB,Windows 10,['512 GB SSD'],Lenovo,64,DDR4
430,4.2,199999.0,Intel Core i7 Processor,32 GB,Windows 11,['1 TB SSD'],HP,64,DDR5
431,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],Lenovo,64,DDR4
432,4.2,96990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR5
433,4.6,82990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR5
434,4.3,64990.0,Intel Core i5 Processor,16 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",ASUS,64,DDR4
435,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
436,4.2,49890.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
437,4.0,250000.0,Intel Core i5 Processor,16 GB,Windows 10,['1 TB SSD'],ALIENWARE,64,DDR4
438,3.7,40990.0,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
439,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,['512 GB SSD'],HP,32,DDR4
440,4.2,92890.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
441,4.2,93990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR5
442,4.2,159990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],Lenovo,64,DDR5
