,Rating,MRP,Processor,RAM,OS,Storage,OS_arch,RAM_Type,cluster
613,4.2,61255.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
614,4.4,55600.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
615,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
616,4.1,60130.0,Intel Core i5 Processor,8 GB,Windows 10,"('1 TB HDD', '256 GB SSD')",64,DDR4,1
617,4.2,89976.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
618,4.2,28490.0,Intel Pentium Silver Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
619,4.5,37990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
620,3.5,40990.0,Intel Core i3 Processor,8 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,6
621,4.2,162490.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR3,5
622,4.2,115999.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
623,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
624,4.5,59990.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
625,4.3,55990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
626,4.4,71990.0,Intel Core i5 Processor,16 GB,Windows 10,"('512 GB SSD',)",64,DDR4,7
627,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
628,4.2,62490.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
629,3.5,16100.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,6
630,4.2,94990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,7
631,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
632,4.2,66990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR4,7
633,4.1,38990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,7
634,4.4,76990.0,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
635,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
636,4.2,147990.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
637,4.2,55490.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
638,4.0,45690.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,1
639,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
640,5.0,35890.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,5
641,4.3,66990.0,Intel Core i7 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,LPDDR3,5
642,4.5,76990.0,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
643,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
644,4.1,21990.0,Intel Celeron Quad Core Processor,4 GB,Windows 11,"('128 GB SSD',)",64,LPDDR4X,1
645,4.1,57490.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
646,4.3,37490.0,Intel Core i3 Processor,4 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
647,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
648,4.4,45990.0,Intel Core i3 Processor,4 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
649,4.1,59990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
650,4.1,42490.0,Intel Core i3 Processor,4 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,1
651,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
652,4.4,71990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
653,3.9,42690.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
654,3.7,104990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,7
655,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
656,4.2,84990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('1 TB SSD',)",64,DDR5,5
657,4.3,32990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
658,4.1,37990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
659,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
660,4.2,45990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
661,4.3,31490.0,Intel Core i3 Processor,4 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
662,4.2,36990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
663,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
664,4.1,22490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('128 GB SSD',)",64,DDR4,1
665,4.0,42990.0,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
666,3.7,60990.0,Intel Core i5 Processor,8 GB,Windows 11,"('1 TB HDD', '256 GB SSD')",64,DDR4,6
