,Rating,MRP,Processor,RAM,OS,Storage,Brand
183,4.2,60990.0,Intel Core i5 Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
184,,329990.0,,16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
185,,211990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,,1 TB SSD,ASUS
186,4.5,80990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
187,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
188,4.7,132900.0,,16 GB DDR4 RAM,,512 GB SSD,APPLE
189,4.1,21990.0,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,64 bit Windows 11 Operating System,128 GB SSD,Infinix
190,,159990.0,Intel Core i9 Processor,32 GB LPDDR5 RAM,,1 TB SSD,ASUS
191,3.9,62990.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,HP
192,4.7,67490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
193,,224990.0,AMD Ryzen 7 Octa Core Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,2 TB SSD,ASUS
194,4.2,48990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
195,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
196,4.2,60990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
197,4.1,63890.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
198,,88990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
199,3.8,19100.0,,4 GB DDR4 RAM,32 bit Chrome Operating System,,HP
200,,83699.0,Intel Core i7 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
201,4.5,90490.0,Intel Core i5 Processor,16 GB DDR4 RAM,,512 GB SSD,HP
202,3.4,69490.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
203,3.8,22490.0,,4 GB LPDDR4X RAM,,,HP
204,4.6,146990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR4 RAM,,1 TB SSD,ASUS
205,,211990.0,AMD Ryzen 9 Octa Core Processor,16 GB DDR5 RAM,,1 TB SSD,ASUS
206,4.4,64990.0,,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
207,4.3,36158.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Lenovo
208,,365387.0,Intel Core i9 Processor,32 GB DDR5 RAM,,2 TB SSD,ASUS
209,,151990.0,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB HDD512 GB SSD,DELL
210,,224990.0,AMD Ryzen 7 Octa Core Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,2 TB SSD,ASUS
211,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
212,,170399.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,HP
213,4.5,65990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
214,4.1,65490.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
